timestamp	mode	audio	host_text	hybrid_text	token_sequence_match	text_match	silicon_logits_allclose	silicon_argmax_match	max_logits_abs	silicon_wait_s	run_dir
20260505-102515	both	local-artifacts/erbium_amp_probe/whisper-real/audio/openai_whisper_jfk_16k.wav	 And	 And	True	True		True		0.17036801	local-artifacts/erbium_amp_probe/whisper-real/phase0/e2e_audit_runs_tail_ln/both_20260505-102515
20260505-103046	both	local-artifacts/erbium_amp_probe/whisper-real/audio/openai_whisper_jfk_16k.wav	 And so	 And so	True	True		True		0.21269404	local-artifacts/erbium_amp_probe/whisper-real/phase0/e2e_audit_runs_tail_ln/both_20260505-103046
20260505-103351	both	local-artifacts/erbium_amp_probe/whisper-real/audio/openai_whisper_jfk_16k.wav	 And so my fellow Americans ask not what your country can do for you ask what you can do for your country	 And so my fellow Americans ask not what your country can do for you ask what you can do for your country	True	True		True		1.10474496	local-artifacts/erbium_amp_probe/whisper-real/phase0/e2e_audit_runs_tail_ln/both_20260505-103351
20260505-105215	both	local-artifacts/erbium_amp_probe/whisper-real/audio/openai_whisper_jfk_16k.wav	 And so	 And so	True	True		True		0.3021343	local-artifacts/erbium_amp_probe/whisper-real/phase0/e2e_audit_runs_tail_parallel/both_20260505-105215
20260505-105350	both	local-artifacts/erbium_amp_probe/whisper-real/audio/openai_whisper_jfk_16k.wav	 And so my fellow Americans ask not what your country can do for you ask what you can do for your country	 And so my fellow Americans ask not what your country can do for you ask what you can do for your country	True	True		True		1.5881506	local-artifacts/erbium_amp_probe/whisper-real/phase0/e2e_audit_runs_tail_parallel/both_20260505-105350
20260505-110311	both	local-artifacts/erbium_amp_probe/whisper-real/audio/openai_whisper_jfk_16k.wav	 And so my fellow Americans ask not what your country can do for you ask what you can do for your country	 And so my fellow Americans ask not what your country can do for you ask what you can do for your country	True	True		True		1.5882443	local-artifacts/erbium_amp_probe/whisper-real/phase0/demo_runs/both_20260505-110311
20260505-110903	both	local-artifacts/erbium_amp_probe/whisper-real/audio/openai_whisper_jfk_16k.wav	 And	 And	True	True		True		0.240568	local-artifacts/erbium_amp_probe/whisper-real/phase0/demo_smoke_runs/both_20260505-110903
20260505-211142	both	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/audio/openai_whisper_jfk_16k.wav	 And	 And	True	True		True		0.24161359999999998	local-artifacts/erbium_amp_probe/whisper-real/phase1/overnight_smoke_runs_v2/overnight_20260505-211115/e2e/both_20260505-211142
20260505-212108	both	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/audio/openai_whisper_jfk_16k.wav	 And so my fellow Americans ask not what your country can do for you ask what you can do for your country	 And so my fellow Americans ask not what your country can do for you ask what you can do for your country	True	True		True		1.5799138	local-artifacts/erbium_amp_probe/whisper-real/phase1/overnight_runs/overnight_20260505-212045/e2e/both_20260505-212108
20260505-212517	both	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/audio/openai_whisper_jfk_16k.wav	 And so my fellow Americans ask not what your country can do for you ask what you can do for your country	 And so my fellow Americans ask not what your country can do for you ask what you can do for your country	True	True		True		1.5431348	local-artifacts/erbium_amp_probe/whisper-real/phase1/overnight_runs/overnight_20260505-212045/e2e/both_20260505-212517
20260505-212936	both	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/audio/openai_whisper_jfk_16k.wav	 And so my fellow Americans ask not what your country can do for you ask what you can do for your country	 And so my fellow Americans ask not what your country can do for you ask what you can do for your country	True	True		True		1.10688479	local-artifacts/erbium_amp_probe/whisper-real/phase1/overnight_runs/overnight_20260505-212045/e2e/both_20260505-212936
20260505-213721	both	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/audio/openai_whisper_jfk_16k.wav	 And so my fellow Americans ask not what your country can do for you ask what you can do for your country	 And so my fellow Americans ask not what your country can do for you ask what you can do for your country	True	True		True		1.5825455	local-artifacts/erbium_amp_probe/whisper-real/phase1/overnight_runs/overnight_20260505-212045/e2e/both_20260505-213721
20260505-214217	both	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/audio/openai_whisper_jfk_16k.wav	 And so my fellow Americans ask not what your country can do for you ask what you can do for your country	 And so my fellow Americans ask not what your country can do for you ask what you can do for your country	True	True		True		1.5421571	local-artifacts/erbium_amp_probe/whisper-real/phase1/overnight_runs/overnight_20260505-212045/e2e/both_20260505-214217
20260505-214609	both	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/audio/openai_whisper_jfk_16k.wav	 And so my fellow Americans ask not what your country can do for you ask what you can do for your country	 And so my fellow Americans ask not what your country can do for you ask what you can do for your country	True	True		True		1.10624785	local-artifacts/erbium_amp_probe/whisper-real/phase1/overnight_runs/overnight_20260505-212045/e2e/both_20260505-214609
